City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,porto velho,-8.7619,-63.9039,27.03,78,75,1.03,BR,1681339110
190,leningradskiy,69.3833,178.4167,-17.1,89,98,2.42,RU,1681339772
191,bouza,14.4229,6.0428,27.47,13,21,4.25,NE,1681339773
192,rio bueno,-40.3167,-72.9667,19.08,66,86,1.69,CL,1681339773
193,mount gambier,-37.8333,140.7667,15.96,92,90,1.27,AU,1681339774
194,krasnoselkup,65.7,82.4667,-27.03,97,68,3.76,RU,1681339775
195,ploemeur,47.7333,-3.4333,10.46,79,40,5.66,FR,1681339775
196,evensk,61.95,159.2333,-10.4,64,1,1.62,RU,1681339776
197,san patricio,28.017,-97.5169,26.21,47,2,4.59,US,1681339777
198,santa cruz,-17.8,-63.1667,28.03,69,40,6.17,BO,1681339777
199,nalut,30.3333,10.85,17.71,16,0,2.77,LY,1681339778
200,wilmington,34.2257,-77.9447,22.95,32,0,2.24,US,1681339626
201,bonthe,7.5264,-12.505,26.9,83,26,4.49,SL,1681339779
202,ankang,32.68,109.0172,16.05,71,0,0.73,CN,1681339780
203,rosas,2.2609,-76.7399,17.7,89,78,0.26,CO,1681339781
204,huilong,31.8111,121.655,12.18,69,93,5.69,CN,1681339781
205,adre,13.4667,22.2,24.67,15,43,9.27,TD,1681339782
206,san cristobal,7.7669,-72.225,25.1,84,96,0.84,VE,1681339783
207,maniitsoq,65.4167,-52.9,-2.5,86,23,3.85,GL,1681339784
208,clyde river,70.4692,-68.5914,-13.87,78,100,12.86,CA,1681339784
209,sawtell,-30.3833,153.1,20.1,60,20,5.14,AU,1681339785
210,kisanga,-7.4362,37.7034,22.73,98,100,0.8,TZ,1681339786
211,gundlupet,11.8,76.6833,20.64,69,0,1.33,IN,1681339786
212,sivaki,52.6333,126.75,-1.76,62,100,4.64,RU,1681339648
213,bonnyville,54.2668,-110.735,7.89,64,5,5.36,CA,1681339527
214,nikolskoye,59.7035,30.7861,6.94,95,84,3.72,RU,1681339788
215,bonoua,5.2741,-3.595,27.79,92,39,1.04,CI,1681339789
216,avera,33.194,-82.5271,25.03,48,44,1.3,US,1681339790
217,saint-michel-des-saints,46.6834,-73.9159,4.51,96,96,0.45,CA,1681339790
218,sayyan,15.1718,44.3244,16.5,56,45,0.55,YE,1681339791
219,mpulungu,-8.7623,31.1141,21.71,84,100,1.5,ZM,1681339792
220,flin flon,54.7682,-101.865,7.91,46,40,4.12,CA,1681339792
221,saint-louis,16.3333,-15.0,28.8,48,61,3.89,SN,1681339793
222,quatre cocos,-20.2078,57.7625,24.49,83,53,2.63,MU,1681339794
223,boa vista,2.8197,-60.6733,32.99,46,40,3.09,BR,1681339157
224,codrington,-38.2667,141.9667,16.48,87,88,3.39,AU,1681339795
225,walvis bay,-22.9575,14.5053,15.76,74,0,1.86,NA,1681339543
226,menongue,-14.6585,17.691,18.09,80,92,1.54,AO,1681339796
227,veraval,20.9,70.3667,26.4,63,74,5.62,IN,1681339797
228,isangel,-19.55,169.2667,29.02,69,15,2.7,VU,1681339798
229,pucioasa,45.0833,25.4167,7.71,87,36,1.85,RO,1681339799
230,mercedes,-34.6515,-59.4307,15.48,60,100,2.32,AR,1681339644
231,naze,28.3667,129.4833,17.51,70,44,5.49,JP,1681339800
232,ust-maya,60.4167,134.5333,-5.3,76,76,2.53,RU,1681339801
233,vila do maio,15.1333,-23.2167,22.44,79,19,4.24,CV,1681339802
234,sabaudia,41.3003,13.0282,14.32,97,3,6.92,IT,1681339803
235,ola,59.5833,151.2833,-4.92,66,1,3.5,RU,1681339803
236,klaksvik,62.2266,-6.589,6.51,85,99,9.46,FO,1681339804
237,honiara,-9.4333,159.95,28.41,75,18,1.41,SB,1681339805
238,djambala,-2.5447,14.7533,19.31,91,91,1.45,CG,1681339806
239,hemnesberget,66.2333,13.6333,7.4,93,100,5.09,NO,1681339807
240,denpasar,-8.65,115.2167,25.81,94,75,1.03,ID,1681339527
241,vanavara,60.34,102.2797,-13.15,94,99,2.6,RU,1681339808
242,susurluk,39.9136,28.1578,9.91,91,33,2.13,TR,1681339809
243,salinopolis,-0.6136,-47.3561,26.05,88,95,3.37,BR,1681339810
244,alcoa,35.7895,-83.9738,26.05,31,20,2.06,US,1681339811
245,terra santa,-2.1042,-56.4869,25.28,90,77,1.21,BR,1681339812
246,sangar,63.9242,127.4739,-4.85,96,100,1.43,RU,1681339812
247,ust-kuyga,70.0167,135.6,-17.81,95,91,2.27,RU,1681339813
248,fairbanks,64.8378,-147.7164,-1.89,77,100,2.06,US,1681339814
